title,movie_url,poster_url,rating,genre
I Am Number Four (2011),https://letterboxd.com/film/i-am-number-four/,https://a.ltrbxd.com/resized/film-poster/1/8/8/2/3/18823-i-am-number-four-0-1000-0-1500-crop.jpg?v=3f4c59247b,2.33,adventure
Solaris (2002),https://letterboxd.com/film/solaris-2002/,https://a.ltrbxd.com/resized/film-poster/5/0/5/2/3/50523-solaris-0-1000-0-1500-crop.jpg?v=d4fe5b84fe,3.24,mystery
The Usual Suspects (1995),https://letterboxd.com/film/the-usual-suspects/,https://a.ltrbxd.com/resized/film-poster/5/1/4/9/5/51495-the-usual-suspects-0-1000-0-1500-crop.jpg?v=c02dce5b81,4.07,drama
Dune: Part Two (2024),https://letterboxd.com/film/dune-part-two/,https://a.ltrbxd.com/resized/film-poster/6/1/7/4/4/3/617443-dune-part-two-0-1000-0-1500-crop.jpg?v=cc533700f8,4.4,adventure
Fresh (2022),https://letterboxd.com/film/fresh-2022/,https://a.ltrbxd.com/resized/film-poster/7/0/6/0/6/4/706064-fresh-0-1000-0-1500-crop.jpg?v=546285b96d,3.41,horror
Free Guy (2021),https://letterboxd.com/film/free-guy/,https://a.ltrbxd.com/resized/film-poster/4/7/9/8/1/4/479814-free-guy-0-1000-0-1500-crop.jpg?v=0cd7303445,3.03,adventure
Johnny Be Good (1988),https://letterboxd.com/film/johnny-be-good/,https://a.ltrbxd.com/resized/film-poster/3/9/0/0/6/39006-johnny-be-good-0-1000-0-1500-crop.jpg?v=05c0185e82,2.32,comedy
Zero Day (2025),https://letterboxd.com/film/zero-day-2025-1/,https://a.ltrbxd.com/resized/film-poster/1/3/1/4/5/2/5/1314525-zero-day-2025-1-0-1000-0-1500-crop.jpg?v=0d5c3b0fcb,3.14,drama
Puss in Boots (2011),https://letterboxd.com/film/puss-in-boots/,https://a.ltrbxd.com/resized/sm/upload/li/68/db/nc/7r57xOw0zSCW59pys29KyPrDS3t-0-1000-0-1500-crop.jpg?v=2af3f5dd67,3.18,adventure
16 Wishes (2010),https://letterboxd.com/film/16-wishes/,https://a.ltrbxd.com/resized/film-poster/2/4/6/9/4/24694-16-wishes-0-1000-0-1500-crop.jpg?v=8e464b5ba1,2.77,fantasy
Thor: Ragnarok (2017),https://letterboxd.com/film/thor-ragnarok/,https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/2/209382-thor-ragnarok-0-1000-0-1500-crop.jpg?v=0369e00db5,3.71,adventure
Train to Busan (2016),https://letterboxd.com/film/train-to-busan/,https://a.ltrbxd.com/resized/film-poster/3/3/0/9/1/2/330912-train-to-busan-0-1000-0-1500-crop.jpg?v=c85e151cfe,3.97,thriller
Chappie (2015),https://letterboxd.com/film/chappie/,https://a.ltrbxd.com/resized/film-poster/1/4/2/2/4/8/142248-chappie-0-1000-0-1500-crop.jpg?v=cddef7c3e0,3.09,science-fiction
The Imitation Game (2014),https://letterboxd.com/film/the-imitation-game/,https://a.ltrbxd.com/resized/film-poster/1/4/6/9/5/4/146954-the-imitation-game-0-1000-0-1500-crop.jpg?v=818ff18071,3.82,drama
Men in Black 3 (2012),https://letterboxd.com/film/men-in-black-3/,https://a.ltrbxd.com/resized/sm/upload/tq/ip/el/3z/l9hrvXyGq19f6jPRZhSVRibTMwW-0-1000-0-1500-crop.jpg?v=91141e41b0,3.13,comedy
The Haunted Mansion (2003),https://letterboxd.com/film/the-haunted-mansion/,https://a.ltrbxd.com/resized/film-poster/4/5/9/2/6/45926-the-haunted-mansion-0-1000-0-1500-crop.jpg?v=eae8d718c6,2.76,comedy
